Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11

2050001 --> Thursday, 05 - 31

2050002 --> Thursday, 05 - 16

2050003 --> Thursday, 05 - 08

2050004 --> Thursday, 05 - 27

2050005 --> Thursday, 05 - 12

2050006 --> Thursday, 06 - 01

2050007 --> Thursday, 05 - 24

2050008 --> Thursday, 05 - 08

2050009 --> Thursday, 05 - 28

2050010 --> Thursday, 05 - 20

2050011 --> Thursday, 05 - 05

2050012 --> Thursday, 05 - 24

2050013 --> Thursday, 05 - 16

2050014 --> Thursday, 05 - 01

2050015 --> Thursday, 05 - 21

2050016 --> Thursday, 05 - 12

2050017 --> Thursday, 06 - 01

2050018 --> Thursday, 05 - 17

2050019 --> Thursday, 05 - 09

2050020 --> Thursday, 05 - 28

2050021 --> Thursday, 05 - 20

2050022 --> Thursday, 05 - 05

2050023 --> Thursday, 05 - 25

2050024 --> Thursday, 05 - 16

2050025 --> Thursday, 05 - 29

2050026 --> Thursday, 05 - 21

2050027 --> Thursday, 05 - 13

2050028 --> Thursday, 06 - 01

2050029 --> Thursday, 05 - 17

2050030 --> Thursday, 05 - 09

2050031 --> Thursday, 05 - 29

2050032 --> Thursday, 05 - 13

2050033 --> Thursday, 05 - 05

2050034 --> Thursday, 05 - 25

2050035 --> Thursday, 05 - 10

2050036 --> Thursday, 05 - 29

2050037 --> Thursday, 05 - 21

2050038 --> Thursday, 05 - 06

2050039 --> Thursday, 05 - 26

2050040 --> Thursday, 05 - 17

2050041 --> Thursday, 05 - 09

2050042 --> Thursday, 05 - 22

2050043 --> Thursday, 05 - 14

2050044 --> Thursday, 06 - 02

2050045 --> Thursday, 05 - 18

2050046 --> Thursday, 05 - 10

2050047 --> Thursday, 05 - 30

2050048 --> Thursday, 05 - 21

2050049 --> Thursday, 05 - 06

2050050 --> Thursday, 05 - 26

2050051 --> Thursday, 05 - 18

2050052 --> Thursday, 05 - 02

2050053 --> Thursday, 05 - 22

2050054 --> Thursday, 05 - 14

2050055 --> Thursday, 05 - 27

2050056 --> Thursday, 05 - 18

2050057 --> Thursday, 05 - 10

2050058 --> Thursday, 05 - 30

2050059 --> Thursday, 05 - 15

2050060 --> Thursday, 05 - 06

2050061 --> Thursday, 05 - 26

2050062 --> Thursday, 05 - 11

2050063 --> Thursday, 05 - 31

2050064 --> Thursday, 05 - 22

2050065 --> Thursday, 05 - 07

2050066 --> Thursday, 05 - 27

2050067 --> Thursday, 05 - 19

2050068 --> Thursday, 05 - 10

2050069 --> Thursday, 05 - 23

2050070 --> Thursday, 05 - 15

2050071 --> Thursday, 05 - 07

2050072 --> Thursday, 05 - 26

2050073 --> Thursday, 05 - 11

2050074 --> Thursday, 05 - 31

2050075 --> Thursday, 05 - 23

2050076 --> Thursday, 05 - 07

2050077 --> Thursday, 05 - 27

2050078 --> Thursday, 05 - 19

2050079 --> Thursday, 05 - 04

