Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4730000 through 4739999



4730000 --> Sunday, 04 - 23

4730001 --> Sunday, 04 - 08

4730002 --> Sunday, 03 - 31

4730003 --> Sunday, 04 - 20

4730004 --> Sunday, 04 - 04

4730005 --> Sunday, 03 - 27

4730006 --> Sunday, 04 - 16

4730007 --> Sunday, 04 - 01

4730008 --> Sunday, 04 - 20

4730009 --> Sunday, 04 - 12

4730010 --> Sunday, 04 - 04

4730011 --> Sunday, 04 - 17

4730012 --> Sunday, 04 - 08

4730013 --> Sunday, 03 - 31

4730014 --> Sunday, 04 - 13

4730015 --> Sunday, 04 - 05

4730016 --> Sunday, 03 - 27

4730017 --> Sunday, 04 - 16

4730018 --> Sunday, 04 - 01

4730019 --> Sunday, 04 - 21

4730020 --> Sunday, 04 - 12

4730021 --> Sunday, 03 - 28

4730022 --> Sunday, 04 - 17

4730023 --> Sunday, 04 - 09

4730024 --> Sunday, 03 - 24

4730025 --> Sunday, 04 - 13

4730026 --> Sunday, 04 - 05

4730027 --> Sunday, 04 - 25

4730028 --> Sunday, 04 - 09

4730029 --> Sunday, 04 - 01

4730030 --> Sunday, 04 - 21

4730031 --> Sunday, 04 - 06

4730032 --> Sunday, 03 - 28

4730033 --> Sunday, 04 - 17

4730034 --> Sunday, 04 - 02

4730035 --> Sunday, 03 - 25

4730036 --> Sunday, 04 - 13

4730037 --> Sunday, 04 - 05

4730038 --> Sunday, 04 - 18

4730039 --> Sunday, 04 - 10

4730040 --> Sunday, 04 - 01

4730041 --> Sunday, 04 - 21

4730042 --> Sunday, 04 - 06

4730043 --> Sunday, 03 - 29

4730044 --> Sunday, 04 - 17

4730045 --> Sunday, 04 - 02

4730046 --> Sunday, 04 - 22

4730047 --> Sunday, 04 - 14

4730048 --> Sunday, 03 - 29

4730049 --> Sunday, 04 - 18

4730050 --> Sunday, 04 - 10

4730051 --> Sunday, 03 - 26

4730052 --> Sunday, 04 - 14

4730053 --> Sunday, 04 - 06

4730054 --> Sunday, 03 - 22

4730055 --> Sunday, 04 - 11

4730056 --> Sunday, 04 - 02

4730057 --> Sunday, 04 - 22

4730058 --> Sunday, 04 - 07

4730059 --> Sunday, 03 - 30

4730060 --> Sunday, 04 - 18

4730061 --> Sunday, 04 - 10

4730062 --> Sunday, 03 - 26

4730063 --> Sunday, 04 - 15

4730064 --> Sunday, 04 - 06

4730065 --> Sunday, 04 - 19

4730066 --> Sunday, 04 - 11

4730067 --> Sunday, 04 - 03

4730068 --> Sunday, 04 - 22

4730069 --> Sunday, 04 - 07

4730070 --> Sunday, 03 - 30

4730071 --> Sunday, 04 - 19

4730072 --> Sunday, 04 - 03

4730073 --> Sunday, 03 - 26

4730074 --> Sunday, 04 - 15

4730075 --> Sunday, 03 - 31

4730076 --> Sunday, 04 - 19

4730077 --> Sunday, 04 - 11

4730078 --> Sunday, 03 - 27

4730079 --> Sunday, 04 - 16

4730080 --> Sunday, 04 - 07

4730081 --> Sunday, 03 - 30

4730082 --> Sunday, 04 - 12

4730083 --> Sunday, 04 - 04

4730084 --> Sunday, 04 - 23

4730085 --> Sunday, 04 - 15

4730086 --> Sunday, 03 - 31

4730087 --> Sunday, 04 - 20

4730088 --> Sunday, 04 - 11

4730089 --> Sunday, 03 - 27

4730090 --> Sunday, 04 - 16

4730091 --> Sunday, 04 - 08

4730092 --> Sunday, 03 - 23

4730093 --> Sunday, 04 - 12

4730094 --> Sunday, 04 - 04

4730095 --> Sunday, 04 - 24

4730096 --> Sunday, 04 - 08

4730097 --> Sunday, 03 - 31

4730098 --> Sunday, 04 - 20

4730099 --> Sunday, 04 - 05

4730100 --> Sunday, 03 - 28

4730101 --> Sunday, 04 - 17

4730102 --> Sunday, 04 - 02

4730103 --> Sunday, 03 - 25

4730104 --> Sunday, 04 - 13

4730105 --> Sunday, 04 - 05

4730106 --> Sunday, 04 - 18

4730107 --> Sunday, 04 - 10

4730108 --> Sunday, 04 - 01

4730109 --> Sunday, 04 - 14

4730110 --> Sunday, 04 - 06

4730111 --> Sunday, 03 - 29

4730112 --> Sunday, 04 - 17

4730113 --> Sunday, 04 - 02

4730114 --> Sunday, 04 - 22

4730115 --> Sunday, 04 - 14

4730116 --> Sunday, 03 - 29

4730117 --> Sunday, 04 - 18

4730118 --> Sunday, 04 - 10

4730119 --> Sunday, 03 - 26

4730120 --> Sunday, 04 - 14

4730121 --> Sunday, 04 - 06

