Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1850000 through 1859999



1850000 --> Sunday, 04 - 16

1850001 --> Sunday, 04 - 08

1850002 --> Sunday, 03 - 24

1850003 --> Sunday, 04 - 13

1850004 --> Sunday, 04 - 04

1850005 --> Sunday, 04 - 24

1850006 --> Sunday, 04 - 09

1850007 --> Sunday, 04 - 01

1850008 --> Sunday, 04 - 20

1850009 --> Sunday, 04 - 05

1850010 --> Sunday, 03 - 28

1850011 --> Sunday, 04 - 17

1850012 --> Sunday, 04 - 01

1850013 --> Sunday, 04 - 21

1850014 --> Sunday, 04 - 13

1850015 --> Sunday, 03 - 29

1850016 --> Sunday, 04 - 17

1850017 --> Sunday, 04 - 09

1850018 --> Sunday, 03 - 25

1850019 --> Sunday, 04 - 14

1850020 --> Sunday, 04 - 05

1850021 --> Sunday, 03 - 28

1850022 --> Sunday, 04 - 10

1850023 --> Sunday, 04 - 02

1850024 --> Sunday, 04 - 21

1850025 --> Sunday, 04 - 13

1850026 --> Sunday, 03 - 29

1850027 --> Sunday, 04 - 18

1850028 --> Sunday, 04 - 09

1850029 --> Sunday, 03 - 25

1850030 --> Sunday, 04 - 14

1850031 --> Sunday, 04 - 06

1850032 --> Sunday, 04 - 25

1850033 --> Sunday, 04 - 10

1850034 --> Sunday, 04 - 02

1850035 --> Sunday, 04 - 22

1850036 --> Sunday, 04 - 06

1850037 --> Sunday, 03 - 29

1850038 --> Sunday, 04 - 18

1850039 --> Sunday, 04 - 03

1850040 --> Sunday, 03 - 25

1850041 --> Sunday, 04 - 14

1850042 --> Sunday, 03 - 30

1850043 --> Sunday, 04 - 19

1850044 --> Sunday, 04 - 10

1850045 --> Sunday, 04 - 02

1850046 --> Sunday, 04 - 15

1850047 --> Sunday, 04 - 07

1850048 --> Sunday, 03 - 29

1850049 --> Sunday, 04 - 11

1850050 --> Sunday, 04 - 03

1850051 --> Sunday, 04 - 23

1850052 --> Sunday, 04 - 14

1850053 --> Sunday, 03 - 30

1850054 --> Sunday, 04 - 19

1850055 --> Sunday, 04 - 11

1850056 --> Sunday, 03 - 26

1850057 --> Sunday, 04 - 15

1850058 --> Sunday, 04 - 07

1850059 --> Sunday, 03 - 23

1850060 --> Sunday, 04 - 11

1850061 --> Sunday, 04 - 03

1850062 --> Sunday, 04 - 23

1850063 --> Sunday, 04 - 08

1850064 --> Sunday, 03 - 30

1850065 --> Sunday, 04 - 19

1850066 --> Sunday, 04 - 04

1850067 --> Sunday, 03 - 27

1850068 --> Sunday, 04 - 15

1850069 --> Sunday, 03 - 31

1850070 --> Sunday, 04 - 20

1850071 --> Sunday, 04 - 12

1850072 --> Sunday, 04 - 03

1850073 --> Sunday, 04 - 16

1850074 --> Sunday, 04 - 08

1850075 --> Sunday, 03 - 31

1850076 --> Sunday, 04 - 19

1850077 --> Sunday, 04 - 04

1850078 --> Sunday, 03 - 27

1850079 --> Sunday, 04 - 16

1850080 --> Sunday, 03 - 31

1850081 --> Sunday, 04 - 20

1850082 --> Sunday, 04 - 12

1850083 --> Sunday, 03 - 28

1850084 --> Sunday, 04 - 16

1850085 --> Sunday, 04 - 08

1850086 --> Sunday, 03 - 24

1850087 --> Sunday, 04 - 13

1850088 --> Sunday, 04 - 04

1850089 --> Sunday, 04 - 24

1850090 --> Sunday, 04 - 09

1850091 --> Sunday, 04 - 01

1850092 --> Sunday, 04 - 20

1850093 --> Sunday, 04 - 05

1850094 --> Sunday, 03 - 28

1850095 --> Sunday, 04 - 17

1850096 --> Sunday, 04 - 08

1850097 --> Sunday, 03 - 24

1850098 --> Sunday, 04 - 13

1850099 --> Sunday, 04 - 05

1850100 --> Sunday, 04 - 18

1850101 --> Sunday, 04 - 10

1850102 --> Sunday, 04 - 02

1850103 --> Sunday, 04 - 22

1850104 --> Sunday, 04 - 06

1850105 --> Sunday, 03 - 29

1850106 --> Sunday, 04 - 18

1850107 --> Sunday, 04 - 03

1850108 --> Sunday, 04 - 22

1850109 --> Sunday, 04 - 14

1850110 --> Sunday, 03 - 30

1850111 --> Sunday, 04 - 19

1850112 --> Sunday, 04 - 10

1850113 --> Sunday, 03 - 26

1850114 --> Sunday, 04 - 15

1850115 --> Sunday, 04 - 07

1850116 --> Sunday, 03 - 29

1850117 --> Sunday, 04 - 11

1850118 --> Sunday, 04 - 03

1850119 --> Sunday, 04 - 23

1850120 --> Sunday, 04 - 14

1850121 --> Sunday, 03 - 30

1850122 --> Sunday, 04 - 19

1850123 --> Sunday, 04 - 11

1850124 --> Sunday, 03 - 26

1850125 --> Sunday, 04 - 15

1850126 --> Sunday, 04 - 07

1850127 --> Sunday, 04 - 20

1850128 --> Sunday, 04 - 11

1850129 --> Sunday, 04 - 03

1850130 --> Sunday, 04 - 23

1850131 --> Sunday, 04 - 08

1850132 --> Sunday, 03 - 30

1850133 --> Sunday, 04 - 19

1850134 --> Sunday, 04 - 04

1850135 --> Sunday, 03 - 27

1850136 --> Sunday, 04 - 15

1850137 --> Sunday, 03 - 31

1850138 --> Sunday, 04 - 20

1850139 --> Sunday, 04 - 12

1850140 --> Sunday, 04 - 03

1850141 --> Sunday, 04 - 16

1850142 --> Sunday, 04 - 08

1850143 --> Sunday, 03 - 31

1850144 --> Sunday, 04 - 12

1850145 --> Sunday, 04 - 04

1850146 --> Sunday, 04 - 24

1850147 --> Sunday, 04 - 09

1850148 --> Sunday, 03 - 31

1850149 --> Sunday, 04 - 20

1850150 --> Sunday, 04 - 12

1850151 --> Sunday, 03 - 28

1850152 --> Sunday, 04 - 16

1850153 --> Sunday, 04 - 08

1850154 --> Sunday, 03 - 24

1850155 --> Sunday, 04 - 13

1850156 --> Sunday, 04 - 04

1850157 --> Sunday, 04 - 24

1850158 --> Sunday, 04 - 09

1850159 --> Sunday, 04 - 01

1850160 --> Sunday, 04 - 20

1850161 --> Sunday, 04 - 05

1850162 --> Sunday, 03 - 28

1850163 --> Sunday, 04 - 17

1850164 --> Sunday, 04 - 01

1850165 --> Sunday, 04 - 21

1850166 --> Sunday, 04 - 13

1850167 --> Sunday, 03 - 29

1850168 --> Sunday, 04 - 17

1850169 --> Sunday, 04 - 09

1850170 --> Sunday, 04 - 01

1850171 --> Sunday, 04 - 14

1850172 --> Sunday, 04 - 05

1850173 --> Sunday, 03 - 28

1850174 --> Sunday, 04 - 17

1850175 --> Sunday, 04 - 02

1850176 --> Sunday, 04 - 21

1850177 --> Sunday, 04 - 13

