Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1400000 through 1409999



1400000 --> Friday, 04 - 14

1400001 --> Friday, 03 - 30

1400002 --> Friday, 04 - 19

1400003 --> Friday, 04 - 11

1400004 --> Friday, 04 - 02

1400005 --> Friday, 04 - 15

1400006 --> Friday, 04 - 07

1400007 --> Friday, 03 - 30

1400008 --> Friday, 04 - 18

1400009 --> Friday, 04 - 03

1400010 --> Friday, 03 - 26

1400011 --> Friday, 04 - 15

1400012 --> Friday, 03 - 30

1400013 --> Friday, 04 - 19

1400014 --> Friday, 04 - 11

1400015 --> Friday, 03 - 27

1400016 --> Friday, 04 - 15

1400017 --> Friday, 04 - 07

1400018 --> Friday, 03 - 23

1400019 --> Friday, 04 - 12

1400020 --> Friday, 04 - 03

1400021 --> Friday, 04 - 23

1400022 --> Friday, 04 - 08

1400023 --> Friday, 03 - 31

1400024 --> Friday, 04 - 19

1400025 --> Friday, 04 - 04

1400026 --> Friday, 03 - 27

1400027 --> Friday, 04 - 16

1400028 --> Friday, 04 - 07

1400029 --> Friday, 03 - 23

1400030 --> Friday, 04 - 12

1400031 --> Friday, 04 - 04

1400032 --> Friday, 04 - 16

1400033 --> Friday, 04 - 08

1400034 --> Friday, 03 - 31

1400035 --> Friday, 04 - 13

1400036 --> Friday, 04 - 04

1400037 --> Friday, 03 - 27

1400038 --> Friday, 04 - 16

1400039 --> Friday, 04 - 01

1400040 --> Friday, 04 - 20

1400041 --> Friday, 04 - 12

1400042 --> Friday, 03 - 28

1400043 --> Friday, 04 - 17

1400044 --> Friday, 04 - 08

1400045 --> Friday, 03 - 24

1400046 --> Friday, 04 - 13

1400047 --> Friday, 04 - 05

1400048 --> Friday, 03 - 27

1400049 --> Friday, 04 - 09

1400050 --> Friday, 04 - 01

1400051 --> Friday, 04 - 21

1400052 --> Friday, 04 - 12

1400053 --> Friday, 03 - 28

1400054 --> Friday, 04 - 17

1400055 --> Friday, 04 - 02

1400056 --> Friday, 03 - 24

1400057 --> Friday, 04 - 13

1400058 --> Friday, 04 - 05

1400059 --> Friday, 04 - 18

1400060 --> Friday, 04 - 09

1400061 --> Friday, 04 - 01

1400062 --> Friday, 04 - 21

1400063 --> Friday, 04 - 06

1400064 --> Friday, 03 - 28

1400065 --> Friday, 04 - 17

1400066 --> Friday, 04 - 02

1400067 --> Friday, 03 - 25

1400068 --> Friday, 04 - 13

1400069 --> Friday, 03 - 29

1400070 --> Friday, 04 - 18

1400071 --> Friday, 04 - 10

1400072 --> Friday, 03 - 25

1400073 --> Friday, 04 - 14

1400074 --> Friday, 04 - 06

1400075 --> Friday, 03 - 22

1400076 --> Friday, 04 - 10

1400077 --> Friday, 04 - 02

1400078 --> Friday, 04 - 22

1400079 --> Friday, 04 - 07

1400080 --> Friday, 03 - 29

1400081 --> Friday, 04 - 18

1400082 --> Friday, 04 - 10

1400083 --> Friday, 03 - 26

1400084 --> Friday, 04 - 14

1400085 --> Friday, 04 - 06

1400086 --> Friday, 03 - 22

1400087 --> Friday, 04 - 11

1400088 --> Friday, 04 - 02

1400089 --> Friday, 04 - 22

1400090 --> Friday, 04 - 07

1400091 --> Friday, 03 - 30

1400092 --> Friday, 04 - 18

1400093 --> Friday, 04 - 03

1400094 --> Friday, 03 - 26

1400095 --> Friday, 04 - 15

1400096 --> Friday, 03 - 30

1400097 --> Friday, 04 - 19

1400098 --> Friday, 04 - 11

1400099 --> Friday, 03 - 27

1400100 --> Friday, 04 - 16

1400101 --> Friday, 04 - 08

1400102 --> Friday, 03 - 31

1400103 --> Friday, 04 - 13

1400104 --> Friday, 04 - 04

1400105 --> Friday, 03 - 27

1400106 --> Friday, 04 - 16

1400107 --> Friday, 04 - 01

1400108 --> Friday, 04 - 20

1400109 --> Friday, 04 - 12

1400110 --> Friday, 03 - 28

